,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,gu,주소,위도,경도,cnt
120,부산국제아트센터건축중(2023년개관예정),부산 부산진구 새싹로92번길 60-0,공연/행사,공연장,Busanjin-gu,부산 부산진구 새싹로92번길 60-0,35.16754,129.05289,127
121,통도사부산포교원불지사,부산 부산진구 부전로140번길 25-0,역사관광지,절,Busanjin-gu,부산 부산진구 부전로140번길 25-0,35.1611842,129.0568954,127
122,홍제사,부산 부산진구 진남로304번길 34-0,역사관광지,절,Busanjin-gu,부산 부산진구 진남로304번길 34-0,35.1528172,129.0734138,127
123,대원사,부산 부산진구 가야공원로 110-0,역사관광지,절,Busanjin-gu,부산 부산진구 가야공원로 110,35.1492037,129.030028,127
124,CGV서면상상마당,부산 부산진구 서면로 39-0,공연/행사,극장,Busanjin-gu,부산 부산진구 서면로 39-0,35.1534174,129.0571664,127
125,디렉팅아쿠아유토,부산 부산진구 성지로22번길 16-0,휴양관광지,수족관,Busanjin-gu,부산 부산진구 성지로22번길 16-0,35.1728742,129.0561443,127
126,LG연암기념관,부산 부산진구 새싹로 165-0,문화시설,박물관/기념관,Busanjin-gu,부산 부산진구 새싹로 165-0,35.1608974,129.056557,127
127,기봉사,부산 부산진구 진남로328번길 70-0,역사관광지,절,Busanjin-gu,부산 부산진구 진남로328번길 70-0,35.1551059,129.0736818,127
128,금성사,부산 부산진구 엄광로62번길 70-2,역사관광지,절,Busanjin-gu,부산 부산진구 엄광로62번길 70-2,35.1474618,129.0226864,127
129,민들레가있는작은도서관,부산 부산진구 서전로68번길 29-5,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 서전로68번길 29-5,35.15614,129.0672156,127
130,천은사,부산 부산진구 엄광로495번길 47-1,역사관광지,절,Busanjin-gu,부산 부산진구 엄광로495번길 47-1,35.1438933,129.051614,127
131,약광사,부산 부산진구 성지곡로 57-0,역사관광지,절,Busanjin-gu,부산 부산진구 성지곡로 57-0,35.1876141,129.0477136,127
132,용해사,부산 부산진구,역사관광지,절,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
133,용암사,부산 부산진구 엄광로384번길 15-0,역사관광지,절,Busanjin-gu,부산 부산진구 엄광로384번길 15-0,35.1517843,129.0462737,127
134,금련암,부산 부산진구,역사관광지,절,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
135,훈민정음 작은도서관,부산 부산진구 용사촌로 5-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 용사촌로 5-0,35.1716962,129.0343148,127
