,Unnamed: 0,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,주소,위도,경도
92,92,약수정사,부산 기장군 이화로 109-29,역사관광지,절,Gijang-gun,부산 기장군 이화로 109-29,35.2705653,129.2321697
93,93,용주사,부산 기장군 일광로 435-6,역사관광지,절,Gijang-gun,부산 기장군 일광로 435-6,35.31492,129.26159
94,94,시연갤러리,부산 기장군 구연방곡로 91-0,문화시설,전시장,Gijang-gun,부산 기장군 구연방곡로 91-0,35.3204109,129.1841731
95,95,대덕사,부산 기장군 갑골길 14-10,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
96,96,예홈동부산전시장,부산 기장군 기장해안로 118-0,문화시설,전시장,Gijang-gun,부산 기장군 기장해안로 118-0,35.2248054,129.2297666
97,97,백련암,부산 기장군 장안로 490-75,역사관광지,절,Gijang-gun,부산 기장군 장안로 490,35.3706495,129.2157318
98,98,약수암,부산 기장군 달음산길 10-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
99,99,광덕사,부산 기장군 칠암3길 66-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
100,100,정토사,부산 기장군 차성로249번길 50-0,역사관광지,절,Gijang-gun,부산 기장군 차성로249번길 50-0,35.2394437,129.2118247
101,101,대승사,부산 기장군 양수1길 67-0,역사관광지,절,Gijang-gun,부산 기장군 양수1길 67-0,35.3325022,129.1607097
102,102,미황사,부산 기장군 내리길 80-56,역사관광지,절,Gijang-gun,부산 기장군 내리길 80-56,35.2159812,129.1682918
103,103,상선암,부산 기장군 와여1길 37-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
104,104,월성사,부산 기장군 월내2길 88-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
105,105,보명사,부산 기장군 차성서로101번길 27-0,역사관광지,절,Gijang-gun,부산 기장군 차성서로101번길 27-0,35.2428609,129.2082698
106,106,옥남사,부산 기장군 오리길 420-32,역사관광지,절,Gijang-gun,부산 기장군 오리길 420-32,35.36216,129.2755
107,107,청광식물원,부산 기장군,휴양관광지,동식물원,Gijang-gun,부산 기장군,35.2446,129.223
108,108,대도사,부산 기장군 상곡길 70-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
109,109,보덕사,부산 기장군 기장대로 1303-38,역사관광지,절,Gijang-gun,부산 기장군 기장대로 1303,35.3311736,129.247094
110,110,무궁사,부산 기장군 청원길 215-13,역사관광지,절,Gijang-gun,부산 기장군 청원길 215-13,35.2936605,129.2314519
111,111,해강수석전시관,부산 기장군 일광로 261-0,문화시설,화랑/전시관,Gijang-gun,부산 기장군 일광로 261-0,35.31492,129.26159
112,112,용소농원,부산 기장군 기장대로 1627-0,휴양관광지,동식물원,Gijang-gun,부산 기장군 기장대로 1627,35.3311736,129.247094
113,113,공명암,부산 기장군 삼성길 10-24,역사관광지,절,Gijang-gun,부산 기장군 삼성길 10-24,35.2635473,129.2338388
114,114,청광사,부산 기장군 고촌로18번길 10-0,역사관광지,절,Gijang-gun,부산 기장군 고촌로18번길 10-0,35.2404958,129.1720853
115,115,극락암,부산 기장군 용궁길 44-59,역사관광지,절,Gijang-gun,부산 기장군 용궁길 44-59,35.192335,129.2204459
116,116,용두사,부산 기장군 갑골길 14-10,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
117,117,연화산해광사,부산 기장군 기장해안로 340-0,역사관광지,절,Gijang-gun,부산 기장군 기장해안로 340,35.2248054,129.2297666
118,118,아람농원,부산 기장군 백운산길 63-0,휴양관광지,동식물원,Gijang-gun,부산 기장군,35.2446,129.223
119,119,오송암,부산 기장군 대청로36번길 18-0,역사관광지,절,Gijang-gun,부산 기장군 대청로36번길 18-0,35.2371271,129.215222
120,120,용궁암,부산 기장군 판곡길 15-8,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
121,121,이연주갤러리,부산 기장군 동암해안길 6-0,문화시설,화랑/전시관,Gijang-gun,부산 기장군 동암해안길 6-0,35.1959662,129.2245808
122,122,봉화사,부산 기장군 월내4길 49-18,역사관광지,절,Gijang-gun,부산 기장군 월내4길 49-18,35.3286017,129.2722526
123,123,갤러리이,부산 기장군 철마로 513-0,문화시설,화랑/전시관,Gijang-gun,부산 기장군 철마로 513,35.27544,129.14606
124,124,기장읍성,부산 기장군 읍내로104번길 19-0,역사관광지,문화유적지,Gijang-gun,부산 기장군 읍내로104번길 19-0,35.2437742,129.2155542
125,125,약수선원,부산 기장군 석산길 99-0,역사관광지,절,Gijang-gun,부산 기장군 석산길 99-0,35.2078926,129.2098595
126,126,구월정사,부산 기장군 중리1길 22-19,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
127,127,봉화암,부산 기장군,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
128,128,원력사,부산 기장군 임곡1길 48-5,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
129,129,칠암작은도서관,부산 기장군 문오성길 485-5,문화시설,문화생활시설기타,Gijang-gun,부산 기장군,35.2446,129.223
130,130,금선사,부산 기장군 신평1길 32-68,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
131,131,임씨농장,부산 기장군 선암길 58-7,휴양관광지,동식물원,Gijang-gun,부산 기장군,35.2446,129.223
132,132,일광사,부산 기장군 이천8길 64-7,역사관광지,절,Gijang-gun,부산 기장군 이천8길 64-7,35.2698452,129.2369404
